🕘️更新时间,#genre#
2025-08-09 06:31:58,https://itv.stcwl.xyz/udp/239.21.0.101:3744

❤汕头,#genre#
汕头新闻综合,https://itv.stcwl.xyz/udp/239.21.0.101:3744
汕头新闻综合,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146
汕头新闻综合,http://home.l-ht.cn:4000/rtp/239.253.43.45:5146
汕头经济生活,https://itv.stcwl.xyz/udp/239.21.0.102:3748
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.77.1.131:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.253.43.46:5146
汕头经济生活,http://8.138.7.223/tv/gd.php

🥘潮汕,#genre#
潮州民生,https://itv.stcwl.xyz/udp/239.21.0.146:3928
潮州民生,http://home.l-ht.cn:4000/rtp/239.253.43.75:5146
潮州综合,https://itv.stcwl.xyz/udp/239.21.0.145:3924
潮州综合,http://home.l-ht.cn:4000/rtp/239.253.43.70:5146
揭阳生活,https://itv.stcwl.xyz/udp/239.21.0.92:3708
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
揭阳生活,http://home.l-ht.cn:4000/rtp/239.77.0.251:5146
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/zhpd.m3u8
揭阳综合,https://itv.stcwl.xyz/udp/239.21.0.91:3704
揭阳综合,http://home.l-ht.cn:4000/rtp/239.77.0.229:5146

📺央视频道,#genre#
CCTV1综合,http://192.168.30.1:35455/gptv/G_CCTV-1-HQ.m3u8
CCTV1综合,https://itv.stcwl.xyz/udp/239.10.0.114:1025
CCTV1综合,http://192.168.30.1:35455/gptv/G_CCTV-1-HQ.m3u8
CCTV1综合,http://home.l-ht.cn:4000/rtp/239.77.0.129:5146
CCTV1综合,http://220.169.100.41:10087/udp/239.76.251.87:9000
CCTV1综合,http://220.169.100.41:10087/udp/239.76.246.151:1234
CCTV1综合,http://59.35.185.47:8188/udp/239.77.1.144:5146
CCTV1综合,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV1综合,http://106.52.196.79:80/TV/mui.php
CCTV1综合,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV1综合,http://sh.lnott.top:880/dx01.m3u8
CCTV1综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://192.168.30.1:35455/gptv/G_CCTV-2-HQ.m3u8
CCTV2财经,https://itv.stcwl.xyz/udp/239.20.0.197:2192
CCTV2财经,http://192.168.30.1:35455/gptv/G_CCTV-2-HQ.m3u8
CCTV2财经,http://home.l-ht.cn:4000/rtp/239.77.1.158:5146
CCTV2财经,http://220.169.100.41:10087/udp/239.76.253.152:9000
CCTV2财经,http://220.169.100.41:10087/udp/239.76.246.152:1234
CCTV2财经,http://59.35.185.47:8188/udp/239.77.1.158:5146
CCTV2财经,http://qjrhc.jydjd.top:2911/udp/225.1.101.26:7523
CCTV2财经,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV2财经,http://221.193.168.233:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://106.52.196.79:80/TV/mui.php
CCTV2财经,http://sh.lnott.top:880/dx02.m3u8
CCTV2财经,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://192.168.30.1:35455/gptv/G_CCTV-3-HQ.m3u8
CCTV3综艺,https://itv.stcwl.xyz/udp/239.20.0.28:3292
CCTV3综艺,http://192.168.30.1:35455/gptv/G_CCTV-3-HQ.m3u8
CCTV3综艺,http://home.l-ht.cn:4000/rtp/239.77.0.169:5146
CCTV3综艺,http://220.169.100.41:10087/udp/239.76.253.153:9000
CCTV3综艺,http://220.169.100.41:10087/udp/239.76.246.153:1234
CCTV3综艺,http://59.35.185.47:8188/udp/239.77.0.169:5146
CCTV3综艺,http://qjrhc.jydjd.top:2911/udp/225.1.101.121:7523
CCTV3综艺,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV3综艺,http://221.193.168.233:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://106.52.196.79:80/TV/mui.php
CCTV3综艺,http://sh.lnott.top:880/dx03.m3u8
CCTV3综艺,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://192.168.30.1:35455/gptv/G_CCTV-4-HQ.m3u8
CCTV4中文国际,http://192.168.30.1:35455/gptv/G_CCTV-4-HQ.m3u8
CCTV4中文国际,http://home.l-ht.cn:4000/rtp/239.77.1.163:5146
CCTV4中文国际,http://220.169.100.41:10087/udp/239.76.246.96:1234
CCTV4中文国际,http://220.169.100.41:10087/udp/239.76.246.154:1234
CCTV4中文国际,http://220.169.100.41:10087/udp/239.76.246.95:1234
CCTV4中文国际,http://220.169.100.41:10087/udp/239.76.245.195:1234
CCTV4中文国际,http://59.35.185.47:8188/udp/239.77.1.163:5146
CCTV4中文国际,http://qjrhc.jydjd.top:2911/udp/225.1.101.52:7523
CCTV4中文国际,http://qjrhc.jydjd.top:2911/udp/224.1.100.104:11111
CCTV4中文国际,http://221.193.168.233:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://106.52.196.79:80/TV/mui.php
CCTV4中文国际（美洲）,http://192.168.30.1:35455/gptv/G_CCTV-4-HQ.m3u8
CCTV4中文国际（美洲）,http://home.l-ht.cn:4000/rtp/239.77.1.163:5146
CCTV4中文国际（美洲）,http://8.138.7.223/tv/migu2.php
CCTV4中文国际（美洲）,http://183.11.239.36:808/hls/77/index.m3u8
CCTV4中文国际（欧洲）,http://192.168.30.1:35455/gptv/G_CCTV-4-HQ.m3u8
CCTV4中文国际（欧洲）,http://home.l-ht.cn:4000/rtp/239.77.1.163:5146
CCTV4中文国际（欧洲）,http://8.138.7.223/tv/migu2.php
CCTV4中文国际（欧洲）,http://183.11.239.36:808/hls/67/index.m3u8
CCTV5体育,http://192.168.30.1:35455/gptv/G_CCTV-5-HQ.m3u8
CCTV5体育,https://itv.stcwl.xyz/udp/239.10.0.102:1025
CCTV5体育,http://192.168.30.1:35455/gptv/G_CCTV-5-HQ.m3u8
CCTV5体育,http://home.l-ht.cn:4000/rtp/239.77.0.170:5146
CCTV5体育,http://220.169.100.41:10087/udp/239.76.253.155:9000
CCTV5体育,http://220.169.100.41:10087/udp/239.76.254.214:9000
CCTV5体育,http://59.35.185.47:8188/udp/239.77.0.170:5146
CCTV5体育,http://qjrhc.jydjd.top:2911/udp/225.1.101.187:7523
CCTV5体育,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV5体育,http://221.193.168.233:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://sh.lnott.top:880/dx05.m3u8
CCTV5体育,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://125.42.148.80:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://192.168.30.1:35455/gptv/G_CCTV-6-HQ.m3u8
CCTV6电影,https://itv.stcwl.xyz/udp/239.10.0.103:1025
CCTV6电影,http://192.168.30.1:35455/gptv/G_CCTV-6-HQ.m3u8
CCTV6电影,http://home.l-ht.cn:4000/rtp/239.77.0.171:5146
CCTV6电影,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8
CCTV6电影,http://220.169.100.41:10087/udp/239.76.246.156:1234
CCTV6电影,http://220.169.100.41:10087/udp/239.76.253.156:9000
CCTV6电影,http://59.35.185.47:8188/udp/239.77.0.171:5146
CCTV6电影,http://qjrhc.jydjd.top:2911/udp/225.1.101.94:7523
CCTV6电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.84:11111
CCTV6电影,http://221.193.168.233:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://106.52.196.79:80/TV/mui.php
CCTV6电影,http://sh.lnott.top:880/dx06.m3u8
CCTV7国防军事,http://192.168.30.1:35455/gptv/G_CCTV-7-HQ.m3u8
CCTV7国防军事,https://itv.stcwl.xyz/udp/239.20.0.198:2194
CCTV7国防军事,http://192.168.30.1:35455/gptv/G_CCTV-7-HQ.m3u8
CCTV7国防军事,http://home.l-ht.cn:4000/rtp/239.77.1.159:5146
CCTV7国防军事,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV7国防军事,http://220.169.100.41:10087/udp/239.76.246.157:1234
CCTV7国防军事,http://220.169.100.41:10087/udp/239.76.253.157:9000
CCTV7国防军事,http://59.35.185.47:8188/udp/239.77.0.138:5146
CCTV7国防军事,https://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF
CCTV7国防军事,http://qjrhc.jydjd.top:2911/udp/225.1.101.27:7523
CCTV7国防军事,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111
CCTV7国防军事,http://221.193.168.233:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://106.52.196.79:80/TV/mui.php
CCTV8电视剧,http://192.168.30.1:35455/gptv/G_CCTV-8-HQ.m3u8
CCTV8电视剧,https://itv.stcwl.xyz/udp/239.10.0.104:1025
CCTV8电视剧,http://192.168.30.1:35455/gptv/G_CCTV-8-HQ.m3u8
CCTV8电视剧,http://home.l-ht.cn:4000/rtp/239.77.0.172:5146
CCTV8电视剧,http://220.169.100.41:10087/udp/239.76.246.158:1234
CCTV8电视剧,http://59.35.185.47:8188/udp/239.77.0.172:5146
CCTV8电视剧,http://qjrhc.jydjd.top:2911/udp/225.1.101.98:7523
CCTV8电视剧,http://qjrhc.jydjd.top:2911/udp/224.1.100.86:11111
CCTV8电视剧,http://221.193.168.233:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://106.52.196.79:80/TV/mui.php
CCTV8电视剧,http://sh.lnott.top:880/dx08.m3u8
CCTV8电视剧,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://183.223.157.33:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
