🕘️更新时间,#genre#
2025-08-08 18:38:17,https://itv.stcwl.xyz/udp/239.21.0.101:3744

❤汕头,#genre#
汕头新闻综合,https://itv.stcwl.xyz/udp/239.21.0.101:3744
汕头新闻综合,http://home.l-ht.cn:4000/rtp/239.77.1.130:5146
汕头新闻综合,http://home.l-ht.cn:4000/rtp/239.253.43.45:5146
汕头新闻综合,http://n1.gzbody.com:85/rtp/239.77.1.130:5146
汕头新闻综合,http://n1.gzbody.com:85/rtp/239.253.43.45:5146
汕头经济生活,https://itv.stcwl.xyz/udp/239.21.0.102:3748
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.77.1.131:5146
汕头经济生活,http://home.l-ht.cn:4000/rtp/239.253.43.46:5146
汕头经济生活,http://n1.gzbody.com:85/rtp/239.77.1.131:5146
汕头经济生活,http://n1.gzbody.com:85/rtp/239.253.43.46:5146
汕头经济生活,http://8.138.7.223/tv/gd.php

🥘潮汕,#genre#
潮州民生,https://itv.stcwl.xyz/udp/239.21.0.146:3928
潮州民生,http://home.l-ht.cn:4000/rtp/239.253.43.75:5146
潮州民生,http://n1.gzbody.com:85/rtp/239.253.43.75:5146
潮州综合,https://itv.stcwl.xyz/udp/239.21.0.145:3924
潮州综合,http://home.l-ht.cn:4000/rtp/239.253.43.70:5146
潮州综合,http://n1.gzbody.com:85/rtp/239.253.43.70:5146
揭阳生活,https://itv.stcwl.xyz/udp/239.21.0.92:3708
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
揭阳生活,http://home.l-ht.cn:4000/rtp/239.77.0.251:5146
揭阳生活,http://n1.gzbody.com:85/rtp/239.77.0.251:5146
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/zhpd.m3u8
揭阳综合,https://itv.stcwl.xyz/udp/239.21.0.91:3704
揭阳综合,http://home.l-ht.cn:4000/rtp/239.77.0.229:5146
揭阳综合,http://n1.gzbody.com:85/rtp/239.77.0.229:5146

📺央视频道,#genre#
CCTV1综合,http://192.168.30.1:35455/gptv/G_CCTV-1-HQ.m3u8
CCTV1综合,https://itv.stcwl.xyz/udp/239.10.0.114:1025
CCTV1综合,http://192.168.30.1:35455/gptv/G_CCTV-1-HQ.m3u8
CCTV1综合,http://home.l-ht.cn:4000/rtp/239.77.0.129:5146
CCTV1综合,http://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.0.86:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.0.14:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.0.119:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.0.129:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.1.17:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.1.144:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.1.76:5146
CCTV1综合,http://n1.gzbody.com:85/rtp/239.77.0.30:5146
CCTV1综合,https://live.tvfix.org/live/cctv1hd/index.m3u8
CCTV1综合,http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://sh.lnott.top:880/dx01.m3u8
CCTV1综合,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://1.195.131.69:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1综合,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1综合,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV1综合,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV1综合,http://116.9.204.242:9901/tsfile/live/0001_1.m3u8
CCTV2财经,http://192.168.30.1:35455/gptv/G_CCTV-2-HQ.m3u8
CCTV2财经,https://itv.stcwl.xyz/udp/239.20.0.197:2192
CCTV2财经,http://192.168.30.1:35455/gptv/G_CCTV-2-HQ.m3u8
CCTV2财经,http://home.l-ht.cn:4000/rtp/239.77.1.158:5146
CCTV2财经,http://www.freetv.top/migu/631780532.m3u8?migutoken=d69d5e5f850768f4609f5e7c6f63984da2c614f71e21226d8dea3a6e40d20f871ca2d383cd042bac96e3e8178933a15192f0ffaef2e700eb95de835faecc0bb802bd0c50099bf3d1abe4ea5174
CCTV2财经,http://n1.gzbody.com:85/rtp/239.77.1.158:5146
CCTV2财经,http://n1.gzbody.com:85/rtp/239.77.0.31:5146
CCTV2财经,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://sh.lnott.top:880/dx02.m3u8
CCTV2财经,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://1.195.131.69:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV2财经,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8
CCTV2财经,http://116.9.204.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://www.cdnstv.com:6398/hls/2/index.m3u8
CCTV2财经,http://58.17.48.228:808/hls/2/index.m3u8
CCTV3综艺,http://192.168.30.1:35455/gptv/G_CCTV-3-HQ.m3u8
CCTV3综艺,https://itv.stcwl.xyz/udp/239.20.0.28:3292
CCTV3综艺,http://192.168.30.1:35455/gptv/G_CCTV-3-HQ.m3u8
CCTV3综艺,http://home.l-ht.cn:4000/rtp/239.77.0.169:5146
CCTV3综艺,http://www.freetv.top/migu/624878271.m3u8?migutoken=21306af96cf9259457600792df858b0d339bc7203aeb7e1a6ee6ec6ec3832a2736936029fe2583dcf971676870fdf0afbdee5be786e50af2ac6a8825673cc860d7988f44d0c5c4bc1931259698
CCTV3综艺,http://n1.gzbody.com:85/rtp/239.77.1.7:5146
CCTV3综艺,http://n1.gzbody.com:85/rtp/239.77.0.32:5146
